slope_Outdoor view,r_value_Outdoor view,p_value_Outdoor view,std_err_Outdoor view,timestamp_Outdoor view,slope_Indoor w/ window view,r_value_Indoor w/ window view,p_value_Indoor w/ window view,std_err_Indoor w/ window view,timestamp_Indoor w/ window view,slope_Indoor w/o window view,r_value_Indoor w/o window view,p_value_Indoor w/o window view,std_err_Indoor w/o window view,timestamp_Indoor w/o window view
-1.2109740967859766,-0.9898495784077377,2.4581787139982872e-42,0.025095577636062242,20231117T1230,-1.5978851366850435,-0.9881219785578472,1.048403381924404e-40,0.03586806471834552,20240109T1100,-1.3724819688906071,-0.9882900230499965,7.461480198040499e-41,0.030585776066698284,20231122T0930
-1.0856916082406032,-0.9764901231176436,1.2035041219609982e-33,0.034593181783048654,20240311T1430,-1.3031436293608976,-0.9844664934706967,6.302305694761936e-38,0.033544966657831576,20230322T1400,-1.3348626842826932,-0.98968433643476,3.6151934658170153e-42,0.02789073456091053,20230612T1430
-1.2557673558610638,-0.9881364590620848,1.0183186660098878e-40,0.028170976951026723,20231023T1600,-1.5822433805241427,-0.9866012424299658,1.8573098100974383e-39,0.03776579459660772,20240109T1430,-1.5430051485099865,-0.9821922219201741,1.6318339385709427e-36,0.04260180666587545,20230613T0900
-1.1377668158222236,-0.9560663944159675,3.1483799997492674e-27,0.050354096810606624,20240319T1000,-1.2962440152680508,-0.9894979658617731,5.544517872310635e-42,0.027331263071582935,20240111T1530,-1.3861178871982807,-0.989391930441069,7.047957684053134e-42,0.029375789043656363,20230621T0830
-1.0822580395604164,-0.9509213350874585,4.238165374352928e-26,0.05083137523810426,20231202T1330,-1.2389987898968524,-0.9767307738022548,9.426969687774545e-34,0.03926812137429299,20230614T1500,-1.3607786864753337,-0.9883313789684093,6.85722241334794e-41,0.030270419969344795,20231122T1230
-1.452381794521741,-0.990978063747734,1.4710396532119315e-43,0.02835170956193054,20240111T1630,-1.3634343072564188,-0.9914821241848999,3.7222728490180603e-44,0.025851310780426375,20240110T1300,-1.4490157518101137,-0.9740941402897391,1.2032908915026508e-32,0.04855505958639977,20230404T1430
-0.9803824926918245,-0.9869641485941608,9.647882079818745e-40,0.02307481710736603,20231115T1730,-1.1625757120500704,-0.9896869765743713,3.5931578216011895e-42,0.024287798566737368,20230803T1700,-1.5445680274593854,-0.9820430245712624,1.990295371465101e-36,0.042828122853212705,20230613T1200
-0.9870451681036654,-0.9909557121015021,1.5606580073112464e-43,0.01929212875355473,20240320T1630,-1.0158114786850554,-0.9843985741967697,6.992722795892323e-38,0.026207048929597618,20231114T1200,-1.2101015890143656,-0.985323624492725,1.6293765663200631e-38,0.0302584989253982,20231120T1200
-1.2962732886989925,-0.9777308423704413,3.3215627525711113e-34,0.04015985406445337,20230224T0900,-1.449337815378679,-0.9847850451599591,3.8464993469830365e-38,0.03691472466837704,20230619T1530,-1.551757234621979,-0.9865818315179083,1.9225594454941916e-39,0.03706550288002876,20230404T1100
-1.1051120754577157,-0.9579419384909919,1.12854736700724e-27,0.047782739923235416,20231202T1600,-1.5282332190503418,-0.9937247319598498,2.493566922529182e-47,0.02482856712526309,20231022T1600,-1.3843664788029162,-0.9879451290107892,1.4918283413640766e-40,0.031309858983812625,20231122T1700
